A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F066_EVS5,F034,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,G027A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,V097EF,W005_EVS5,X047E_EVS5
2,1,1,3,2,3,2,1,4,5,1,1,2,5,2,4,2,5,3,5,4,5,1,2,1,2,2,2,4,4,4,3,4,3,4,2,3,2,1,3,3,1,1,1,2,2,4,7,5,6,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,5,3,2,4,1,20809,8,1,10,9,1,10,10,5,8,10,9,2,2,1,4,4,4,2,1,4,4,2,6,6,1,2,5,7,2,1,10,5,10,10,10,10,8,1,1,3,4,2,2,3,3,3,3,3,4,1,1986,31,1,1,1,2,4,7,3,7,3,5,3,6,3,2,6,2,26,1,0,3
1,2,1,2,3,3,2,1,9,8,2,0,2,5,3,3,1,1,4,2,2,2,1,1,2,2,3,2,3,4,4,2,4,2,3,4,2,3,3,3,2,0,3,3,3,5,7,4,5,3,2,1,3,3,1,2,2,3,3,2,0,3,0,2,2,10,4,4,4,1,20803,1,1,10,10,1,10,10,10,9,10,8,1,1,1,4,1,4,3,1,4,4,2,3,4,1,5,1,1,1,1,8,1,8,5,5,1,3,1,1,1,2,3,3,3,3,1,1,4,4,2,1942,75,1,5,1,4,1,2,1,0,0,3,2,2,1,4,0,2,96,6,0,2
1,1,1,3,2,2,2,1,8,8,1,3,2,4,1,2,1,4,3,5,2,3,1,2,1,2,2,2,3,3,4,4,3,1,2,4,1,2,3,1,2,1,2,3,3,8,4,5,5,5,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,7,4,2,4,1,20807,8,1,10,10,1,10,10,8,1,10,10,1,1,1,4,4,4,2,1,4,4,2,8,7,1,2,1,1,1,1,10,1,10,10,8,1,3,1,1,1,2,2,2,1,1,1,1,2,2,2,1955,62,1,1,1,2,2,2,1,3,2,3,2,3,2,4,4,1,53,6,72,4
1,1,2,3,1,2,2,3,10,9,1,1,2,5,1,1,1,4,3,3,1,1,2,2,1,2,2,2,3,4,4,3,3,1,3,1,4,2,3,3,2,1,2,2,2,8,8,1,4,8,2,2,3,2,2,3,3,3,3,3,3,2,2,3,3,5,1,3,4,1,20809,3,5,8,2,2,9,8,9,4,10,7,1,1,2,3,1,3,2,1,3,4,2,8,5,1,5,1,1,1,1,10,7,10,10,10,5,5,2,10,1,2,2,2,1,1,1,2,2,2,2,1956,61,1,1,1,2,2,5,3,3,2,3,2,5,3,4,4,2,41,6,44,6
1,1,2,3,2,3,2,2,8,8,1,1,2,5,2,4,1,3,4,1,1,2,1,1,1,2,2,2,2,3,3,3,3,2,1,4,1,2,1,1,4,1,1,3,1,8,5,4,4,5,1,1,3,2,1,2,2,2,2,3,3,2,2,2,2,7,3,3,4,1,20805,6,5,6,6,4,5,8,5,3,7,8,2,2,1,3,3,3,3,2,3,3,2,7,6,1,3,1,1,1,1,10,1,8,5,9,1,5,1,8,2,2,3,3,1,2,2,1,4,3,2,1985,32,1,6,1,3,5,3,2,3,2,3,2,3,2,1,1,2,43,8,81,7
1,2,3,2,4,4,2,4,8,8,1,1,2,5,2,5,1,4,4,4,3,4,1,2,2,2,2,2,4,4,4,3,4,3,4,4,2,3,2,2,2,1,1,1,1,2,2,8,7,3,2,3,3,3,2,3,3,3,3,4,3,3,2,2,3,3,4,4,4,1,20809,3,3,9,4,1,10,9,3,1,10,7,1,1,2,4,3,4,3,2,3,4,2,8,7,3,1,5,3,1,1,10,1,10,10,9,1,5,1,1,3,4,2,2,1,1,1,3,4,4,2,1962,55,1,6,1,1,3,5,3,0,0,1,1,3,2,8,0,1,41,7,0,9
1,2,2,3,2,4,1,1,9,9,2,1,3,3,1,1,3,2,2,1,1,2,1,1,1,3,3,3,1,2,3,4,1,4,1,4,1,2,3,1,3,1,2,2,2,9,9,2,2,1,3,2,3,2,2,3,3,3,3,3,3,3,3,2,3,6,4,3,3,2,20806,9,4,9,8,3,8,7,9,8,8,8,1,1,2,3,2,2,2,1,3,3,2,8,7,2,1,2,2,2,2,8,2,8,8,9,2,8,2,8,1,3,3,3,1,1,2,1,3,1,1,1993,24,1,6,1,0,2,3,2,3,2,3,2,2,1,1,2,2,82,5,53,7
1,1,1,3,1,3,1,1,10,10,1,1,2,5,3,3,2,5,1,1,1,1,1,1,1,2,1,1,2,4,4,3,4,1,2,1,4,2,3,0,3,1,2,3,3,10,5,1,1,1,3,2,3,3,1,4,3,4,4,4,4,3,3,3,3,1,1,1,4,1,20802,9,9,10,8,6,10,3,10,4,10,8,1,1,1,2,2,2,2,1,0,3,2,6,5,1,5,1,1,1,1,8,5,10,10,10,1,1,1,10,1,3,2,4,1,2,1,1,2,2,2,1951,66,1,1,1,2,2,3,2,5,3,3,2,6,3,1,1,2,33,3,33,7
1,2,2,3,2,1,2,3,8,7,1,1,2,5,2,5,4,5,5,3,5,4,1,1,1,1,1,1,3,4,4,3,4,3,4,2,4,3,1,1,2,1,2,2,3,3,2,5,6,3,2,3,3,3,2,2,3,2,2,3,3,3,2,2,2,6,4,2,4,1,20802,9,3,10,10,5,10,10,10,10,10,8,1,1,1,3,2,3,2,2,3,3,2,1,1,1,10,1,1,1,1,5,2,3,3,1,2,1,1,1,3,3,2,1,3,2,2,1,3,3,2,1942,75,1,1,1,3,2,6,3,7,3,1,1,1,1,2,4,1,26,10,26,4
1,1,2,1,2,4,1,2,9,9,1,1,2,5,3,3,1,4,2,3,2,2,1,1,1,2,2,2,3,4,4,3,3,3,1,3,4,2,1,2,1,1,2,1,2,4,5,5,6,3,3,2,2,2,1,2,1,2,2,3,2,2,1,1,2,9,4,3,4,1,20802,9,1,10,9,2,10,10,8,8,10,10,1,1,1,4,3,4,1,1,3,4,2,8,7,2,1,4,3,2,1,10,3,10,10,7,8,9,1,1,2,3,2,2,1,2,2,3,4,4,1,1995,22,1,6,1,0,2,3,2,0,0,6,3,3,2,6,0,0,0,2,0,5
1,1,1,2,1,3,1,3,10,10,1,1,2,4,2,4,1,4,1,4,2,4,1,1,1,1,1,1,3,3,4,3,2,1,4,1,3,1,3,1,2,2,1,1,1,2,10,1,5,1,3,2,3,3,1,2,3,2,2,2,3,2,1,2,2,8,3,2,4,1,20808,1,1,10,5,9,9,10,2,9,10,10,1,1,1,4,1,3,4,1,3,4,2,8,7,1,2,1,1,1,1,10,1,10,10,10,1,1,1,5,2,3,1,3,1,1,1,1,1,1,2,1964,53,1,1,1,1,2,5,3,7,3,1,1,1,1,4,1,2,32,8,11,10
1,2,2,2,1,1,2,1,1,10,2,1,2,4,2,4,4,4,3,1,2,2,1,2,1,2,2,2,2,1,3,3,3,1,2,1,4,2,3,1,2,2,2,2,2,4,4,5,10,6,3,3,4,2,1,1,1,2,2,2,3,3,4,2,2,5,4,1,3,1,20810,10,5,10,10,1,10,10,10,10,10,10,1,1,1,3,3,4,3,1,4,4,0,2,1,1,10,1,1,1,1,5,1,1,1,1,1,1,1,5,1,5,1,3,3,3,1,1,3,4,1,1979,38,2,1,1,3,5,3,2,3,2,0,1,2,1,1,1,2,83,5,33,8
1,3,1,3,4,2,2,1,10,8,1,1,2,5,2,4,3,4,2,3,1,1,1,1,1,2,2,2,3,4,4,3,4,3,1,2,4,3,3,3,2,1,1,2,2,5,5,5,5,1,3,3,4,3,2,2,2,3,3,3,3,3,2,1,2,10,4,4,4,1,20802,8,1,10,10,1,10,10,7,3,10,10,1,1,1,4,4,4,1,1,4,4,2,7,2,1,3,1,1,1,1,10,10,10,10,5,10,5,1,1,2,4,3,3,3,2,1,2,4,4,1,1948,69,1,1,1,2,2,6,3,5,3,1,1,1,1,4,4,1,0,10,23,5
1,2,2,3,2,4,1,2,9,9,1,1,2,4,2,4,1,2,3,3,2,4,1,1,1,2,2,2,3,4,4,3,2,1,3,1,4,2,2,1,3,2,2,3,3,4,6,3,3,2,2,2,2,2,1,1,2,3,3,2,2,2,1,2,2,9,3,2,3,1,20801,9,1,9,7,2,8,10,5,6,9,8,1,1,1,3,3,3,2,1,3,4,2,8,6,2,2,2,1,3,1,10,3,10,9,7,7,8,1,2,1,3,2,2,2,1,1,2,4,3,1,1972,45,1,1,1,1,3,5,3,7,3,3,2,3,2,1,1,2,24,4,26,9
2,2,2,2,2,3,2,2,8,8,1,1,1,1,1,2,1,5,3,1,1,3,1,2,1,2,2,2,3,1,4,3,4,1,3,1,4,2,3,1,3,1,1,2,3,6,7,3,5,3,2,2,3,2,2,3,2,2,2,2,3,0,2,2,2,10,4,3,4,1,0,8,1,10,10,1,10,10,7,1,10,10,1,1,1,4,4,4,1,1,4,4,2,7,5,1,3,1,1,1,1,10,2,10,10,10,0,10,2,2,1,4,2,2,2,1,1,1,4,4,2,1967,50,1,6,1,2,2,6,3,0,0,3,2,6,3,1,0,1,23,4,0,7
1,2,2,2,4,2,2,1,10,9,1,1,2,4,1,2,2,4,3,0,1,1,1,2,1,2,1,1,2,3,3,3,3,1,3,1,2,2,1,1,2,1,3,3,3,1,1,8,5,1,2,3,3,2,2,2,2,3,3,2,3,3,3,3,2,7,4,4,4,2,20809,10,1,10,10,1,9,10,10,1,10,10,1,1,1,3,2,4,4,3,2,3,2,4,7,1,7,1,1,1,1,10,5,1,6,7,1,10,1,1,2,3,3,2,2,2,2,1,2,3,1,1974,43,2,6,1,0,1,3,2,0,0,3,2,0,0,4,0,0,0,3,0,2
1,1,2,3,2,4,2,1,8,10,1,1,2,5,2,4,1,1,3,2,3,2,1,1,1,2,2,2,2,4,4,4,4,1,2,1,2,2,1,1,3,1,3,1,2,6,7,3,5,3,2,1,3,2,1,2,2,2,2,3,3,2,2,1,2,8,4,2,4,1,20808,8,1,10,8,5,8,10,3,3,10,8,1,1,1,4,2,4,1,1,4,4,2,8,5,2,2,1,2,1,1,10,4,8,6,6,3,5,1,1,1,3,2,3,1,2,3,1,1,1,2,1982,35,1,6,1,0,1,6,3,0,0,7,3,7,3,1,0,1,23,2,0,5
1,1,2,2,2,1,2,1,8,7,2,1,2,5,1,2,3,4,3,2,2,2,1,2,1,4,2,2,2,3,4,4,3,3,1,1,4,2,3,1,3,1,2,1,2,3,6,4,6,1,3,3,2,2,1,3,3,3,3,2,3,3,2,2,3,6,4,3,3,2,20807,7,1,9,8,7,6,10,5,4,10,8,1,1,2,3,2,3,2,2,2,2,9,1,1,1,9,3,2,1,1,1,1,1,1,6,1,1,1,10,2,3,2,3,3,2,2,2,3,2,2,1998,19,1,6,2,0,6,2,1,0,0,2,1,3,2,1,0,1,53,8,0,10
1,1,2,1,1,3,2,2,8,9,1,1,2,5,1,1,3,4,5,3,2,2,2,2,1,2,2,2,4,3,4,4,2,1,3,1,4,2,2,1,1,3,3,3,3,8,9,3,2,1,3,2,2,3,1,1,2,1,1,1,2,2,3,1,2,9,3,3,4,1,20807,5,0,10,7,2,5,10,3,5,10,9,1,1,1,4,3,4,1,1,4,4,0,8,7,3,1,1,1,1,1,10,10,10,10,10,1,5,1,6,1,2,1,3,2,1,1,1,4,4,1,1968,49,1,3,1,3,3,3,2,0,0,1,1,1,1,1,0,2,24,6,0,5
1,1,2,3,1,2,2,2,3,2,1,1,2,4,2,4,4,4,4,1,1,1,1,1,1,2,1,1,3,1,3,2,2,3,1,1,4,2,3,1,3,3,3,3,0,3,10,1,1,1,3,3,3,2,2,3,2,3,3,3,4,3,3,2,2,8,2,1,4,2,20804,5,0,10,10,1,10,10,10,10,10,8,1,1,1,0,0,4,3,0,4,4,2,8,7,2,1,1,1,1,1,5,5,10,10,5,10,1,1,10,1,2,1,1,1,1,1,1,1,1,1,1937,82,1,1,1,2,2,3,2,3,2,1,1,1,1,4,4,0,71,8,75,2
1,2,1,4,1,4,2,3,6,5,2,1,2,4,1,1,1,5,1,1,2,3,1,2,1,2,4,2,2,4,4,3,4,3,2,1,2,2,3,3,4,2,2,2,1,5,5,5,7,2,1,3,4,1,3,3,3,3,3,3,3,2,2,2,2,5,3,3,3,3,0,5,5,5,5,1,5,10,5,5,10,10,1,1,2,2,3,3,2,2,3,4,2,7,7,3,1,1,1,1,1,10,5,10,10,8,2,5,5,5,1,1,3,3,2,2,2,3,3,3,1,1972,45,1,1,1,3,4,2,1,5,3,0,0,0,0,1,7,2,93,8,41,5
1,3,2,2,1,3,1,1,9,9,1,2,2,5,2,4,1,4,4,3,1,1,1,1,1,2,1,2,2,4,4,4,4,4,1,1,2,2,3,1,2,2,3,2,3,5,7,5,2,3,2,2,2,3,2,3,2,2,2,2,3,3,2,1,2,7,3,2,4,1,20802,7,1,10,7,1,9,9,3,5,10,9,1,1,1,4,3,4,1,1,4,4,2,4,5,1,7,3,5,3,1,10,2,9,8,9,2,8,1,1,3,4,2,3,1,2,2,2,3,4,2,1970,47,1,1,1,2,4,6,3,6,3,2,1,3,2,1,1,1,13,6,12,10
1,2,3,2,1,2,2,1,7,5,2,2,1,1,1,1,2,4,4,1,1,1,1,2,1,3,4,4,2,2,4,3,2,3,1,1,4,2,3,1,2,1,3,3,3,5,6,5,6,6,1,2,3,3,2,3,3,4,4,3,3,3,4,3,2,7,3,3,4,1,20805,8,1,10,8,8,8,3,8,8,10,7,1,1,2,3,2,3,3,1,2,4,2,6,4,1,5,1,1,1,1,2,2,10,6,5,1,1,1,7,1,1,3,4,1,1,1,1,2,4,2,1947,70,1,5,1,2,1,3,2,0,0,1,1,1,1,4,0,2,41,9,0,2
1,1,2,2,1,4,4,2,8,10,1,1,2,5,2,5,1,5,4,3,2,1,1,2,1,2,2,2,3,4,4,2,4,3,1,4,1,2,2,2,2,1,2,1,3,4,4,5,5,3,2,2,2,2,1,1,2,2,2,2,3,3,2,1,2,7,4,4,4,1,20802,5,1,10,1,1,10,10,1,8,10,8,1,1,1,4,4,4,2,1,4,4,2,4,7,2,2,1,1,1,1,10,3,10,10,8,3,10,1,1,2,3,2,3,1,2,2,3,4,4,1,1971,46,1,6,1,2,4,7,3,7,3,6,3,7,3,1,1,2,12,3,12,10
1,1,2,2,2,4,1,2,8,8,1,1,2,5,2,5,1,4,3,4,2,3,1,1,1,2,2,2,3,4,4,4,4,3,4,4,1,2,1,3,2,1,1,1,2,3,2,6,7,5,2,2,2,2,2,2,1,2,2,3,2,3,2,1,2,6,4,3,4,1,20810,9,1,10,8,1,10,10,7,5,10,9,1,1,1,4,4,4,1,1,3,4,2,8,7,3,1,1,3,1,1,10,5,9,9,8,2,9,1,1,3,4,2,2,1,2,2,3,4,4,1,1972,45,1,1,1,2,4,7,3,7,3,6,3,7,3,1,1,2,12,1,21,10
1,1,1,2,2,3,1,3,9,8,2,1,2,4,2,4,2,3,4,3,2,4,1,2,1,2,1,1,3,3,3,4,3,1,2,1,2,2,1,1,2,1,2,1,1,4,5,5,5,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,3,8,3,2,3,1,20801,7,2,3,9,7,8,9,7,4,10,9,1,1,1,3,3,3,3,2,3,4,2,4,6,1,2,1,1,1,1,10,1,10,10,9,1,9,1,1,1,3,3,3,1,1,1,2,3,2,2,1974,43,1,1,1,2,4,6,3,3,2,3,2,3,2,1,1,1,23,2,74,8
1,2,1,2,1,3,2,1,9,9,1,1,2,4,3,3,3,4,4,3,2,3,1,1,1,2,2,2,3,4,4,3,4,3,4,2,4,3,3,1,1,2,1,1,1,2,2,8,3,4,3,3,3,2,1,3,2,3,3,3,3,2,2,2,2,8,4,4,4,1,20809,2,2,8,8,1,9,9,8,1,10,8,1,1,1,4,2,4,2,1,3,4,0,8,7,2,1,1,1,1,1,9,2,10,10,1,1,3,1,1,2,3,2,2,1,1,1,4,4,4,2,1952,65,1,1,1,3,2,7,3,7,3,2,1,2,1,3,3,0,22,10,21,10
1,2,3,1,1,2,1,3,4,1,2,1,3,3,1,1,3,5,3,2,3,2,1,2,2,3,2,1,3,1,1,1,1,3,1,1,2,2,3,2,1,1,3,1,2,5,6,5,5,7,3,1,4,3,3,4,3,4,4,4,4,2,4,3,4,10,4,3,3,2,20811,5,0,10,5,5,10,1,9,10,1,8,1,1,1,4,1,4,4,1,4,4,2,4,7,1,5,5,8,5,5,2,7,5,5,1,2,8,1,4,2,2,3,3,4,2,3,1,3,4,2,1946,71,1,1,1,3,2,6,3,5,3,2,1,0,0,4,4,1,41,0,61,0
1,2,2,3,2,4,1,1,9,8,1,1,2,5,2,4,1,3,3,2,2,3,1,2,1,2,2,2,3,3,3,4,3,3,4,4,3,2,1,1,2,1,1,1,3,3,4,5,7,6,2,2,3,2,2,3,2,3,3,3,3,2,2,1,2,6,4,3,4,1,20801,7,1,10,7,1,10,10,5,5,10,9,1,1,1,4,3,4,2,1,4,4,2,8,7,2,1,3,7,2,1,10,3,8,6,8,5,5,1,1,2,3,2,3,2,2,1,3,4,4,1,1979,38,1,1,1,2,4,6,3,7,3,6,3,1,1,1,1,1,23,7,22,10
1,2,2,3,2,3,1,2,9,9,1,1,3,3,1,1,5,2,4,1,2,2,1,1,1,2,3,3,2,3,4,3,4,1,3,1,4,2,3,3,3,2,2,2,2,9,3,2,5,2,3,2,4,2,2,3,3,3,3,2,3,3,3,2,3,8,4,3,3,1,20805,9,9,7,8,0,8,10,4,3,10,9,1,1,2,3,3,3,2,2,3,3,2,3,7,1,3,1,1,1,2,3,2,1,3,8,2,5,2,8,1,1,2,2,2,2,1,2,4,3,2,1967,50,1,1,1,3,2,3,2,3,2,1,1,3,2,2,3,1,53,6,72,5
1,1,1,3,1,4,1,2,9,7,1,1,2,4,3,3,3,4,2,1,3,3,1,2,1,2,2,2,1,3,3,3,3,3,4,1,2,2,3,1,3,2,2,2,3,6,7,5,2,2,1,2,4,2,2,3,3,2,2,3,3,3,3,2,2,7,4,3,3,1,20807,0,0,10,1,0,10,10,1,1,10,10,2,1,1,3,1,4,3,1,4,4,2,6,6,1,4,1,2,1,1,8,2,8,10,10,1,10,1,1,1,3,2,2,1,1,1,2,2,2,1,1994,23,1,6,1,0,1,7,3,0,0,3,2,3,2,2,0,2,51,10,0,1
1,1,2,3,1,4,2,1,7,8,1,2,2,5,3,3,2,5,5,2,2,1,2,2,1,2,2,2,3,3,4,4,2,3,1,1,4,2,3,3,2,1,3,2,2,7,5,4,6,3,2,2,4,2,1,3,2,3,3,3,3,2,2,1,2,3,3,2,4,1,20801,6,1,6,5,0,8,10,6,1,10,5,1,1,1,3,2,4,3,1,2,4,2,8,7,1,2,8,1,1,1,10,3,10,10,7,4,10,1,1,1,4,2,2,1,2,1,2,3,3,2,1969,48,1,3,1,2,3,6,3,0,0,2,1,2,1,1,0,1,26,2,0,5
1,1,1,3,1,2,2,2,10,10,2,1,2,5,1,1,0,4,4,2,2,2,1,1,1,1,1,1,2,4,4,2,4,3,1,1,4,2,1,1,2,1,2,1,1,5,4,5,1,5,2,2,3,1,1,1,1,2,2,2,2,2,2,1,2,10,1,1,4,1,20801,8,0,10,10,8,8,10,0,10,10,10,1,1,1,4,3,4,1,1,0,4,2,4,7,1,2,1,1,1,1,10,5,0,10,5,2,1,1,5,1,3,1,2,1,1,1,2,2,2,1,1937,82,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,2,43,6,52,0
1,1,1,2,1,2,1,1,8,8,1,1,2,4,1,2,4,4,4,3,2,3,1,1,1,1,2,1,3,3,3,3,3,2,4,4,1,2,1,1,1,1,2,2,2,7,8,5,2,2,1,2,3,3,1,2,1,2,2,2,3,2,1,1,3,8,4,3,4,1,20803,9,1,10,7,1,9,10,8,5,10,9,1,1,1,4,3,4,2,1,4,4,9,4,4,1,6,1,1,3,1,8,4,8,8,4,2,4,1,1,1,4,2,3,2,3,1,2,4,4,1,1959,58,1,1,1,4,2,6,3,6,3,6,3,0,0,1,1,2,24,2,23,10
1,1,1,3,2,3,2,1,10,8,1,1,2,5,3,3,2,4,4,1,3,4,1,2,2,2,2,2,4,4,4,3,4,3,1,4,1,2,3,3,3,1,2,1,1,5,5,5,5,9,3,3,3,3,2,3,3,3,3,3,3,3,2,3,0,7,3,3,4,1,20807,4,2,8,8,2,5,10,8,3,7,7,1,1,1,3,2,3,2,2,4,4,2,4,7,1,6,1,1,1,1,10,3,10,9,9,1,6,1,1,1,3,3,3,2,2,1,2,3,4,1,1947,70,1,5,1,2,1,3,2,0,0,0,0,3,2,4,0,2,75,4,0,6
1,1,3,4,1,3,2,4,4,5,1,1,2,4,3,3,3,5,4,3,3,2,1,2,2,3,1,2,2,3,4,3,3,1,3,1,4,2,1,1,4,1,2,3,1,4,0,5,3,5,3,3,2,3,2,3,3,3,3,3,3,0,2,2,3,4,3,2,4,1,20804,5,2,5,9,3,9,9,7,2,10,9,2,1,1,4,3,4,2,1,4,4,2,8,7,1,1,2,2,5,1,10,3,10,9,7,7,10,2,2,2,3,2,2,2,2,2,3,4,4,2,1937,82,1,5,1,3,1,5,3,0,0,2,1,3,2,4,0,1,41,3,0,2
1,1,1,4,4,4,2,3,9,10,1,1,2,5,2,5,1,5,1,5,2,1,1,2,1,1,2,1,4,4,4,4,4,4,1,4,1,2,1,1,2,3,2,3,2,5,10,5,7,1,2,2,4,4,4,4,4,4,4,4,4,4,4,3,2,5,4,1,4,1,20801,10,1,10,10,1,10,10,1,5,10,10,2,1,1,4,4,3,2,1,4,4,2,8,6,2,1,1,5,1,1,10,10,10,10,10,1,10,1,1,1,1,4,4,1,1,1,4,4,4,1,1960,57,1,6,1,0,1,2,1,0,0,1,1,1,1,4,0,2,83,8,0,2
3,1,1,3,1,4,2,2,7,7,2,3,3,3,1,1,1,1,3,1,1,1,2,1,1,2,3,3,3,3,3,4,3,3,4,3,4,2,3,2,3,1,3,3,3,2,4,4,2,5,3,1,4,1,2,3,3,2,2,4,4,2,3,3,2,3,2,2,3,2,20805,1,4,8,5,6,8,8,2,7,9,6,1,1,1,4,2,2,3,1,4,4,2,3,7,1,8,1,1,1,1,5,1,1,5,5,1,1,1,5,1,3,1,2,1,1,2,1,3,1,1,1959,58,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,83,10,93,7
1,1,1,2,3,4,1,1,8,7,2,1,3,3,1,1,4,3,1,5,3,2,1,1,1,2,2,2,1,4,3,3,3,4,3,1,4,2,3,3,3,3,2,1,1,5,7,7,8,7,2,1,3,2,1,3,3,4,4,2,3,3,2,2,3,9,1,2,4,1,20805,9,4,8,10,3,2,9,8,8,10,8,1,1,1,4,3,4,2,1,4,4,2,8,7,1,1,1,2,1,1,9,6,9,9,9,2,2,1,3,1,3,2,2,1,1,1,2,3,4,1,1967,50,1,6,1,0,1,2,1,0,0,6,3,3,2,4,0,2,72,6,0,3
1,2,2,3,2,4,1,1,9,9,1,1,2,5,2,4,1,4,3,2,2,3,1,1,1,2,2,2,3,4,4,4,4,3,1,1,4,2,3,3,2,2,2,2,2,7,7,4,2,2,2,1,3,3,2,2,3,2,2,1,2,2,3,2,2,10,4,2,4,1,20807,3,1,10,9,1,10,10,4,1,10,9,1,1,1,4,4,4,1,1,4,4,2,4,6,2,3,2,1,1,1,10,1,10,10,9,1,8,1,1,1,3,2,2,2,1,1,1,3,2,2,1987,30,1,1,2,3,6,5,3,3,2,5,3,5,3,1,1,2,60,6,13,10
1,2,1,2,1,2,2,2,8,5,2,2,2,4,3,3,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,2,2,3,1,2,2,1,1,2,2,1,1,1,8,5,8,8,3,1,1,3,2,2,2,1,2,2,2,2,2,1,2,2,8,4,3,3,1,20801,8,8,8,7,4,8,8,8,8,8,8,1,1,1,3,2,3,3,3,3,3,2,4,6,1,5,2,2,2,2,7,5,7,7,3,3,5,3,2,1,4,2,2,2,2,2,2,2,4,1,1952,65,1,1,1,3,2,1,1,1,1,1,1,1,1,4,4,2,0,8,53,2
1,1,1,3,1,3,1,1,10,10,2,2,2,5,1,1,1,4,2,2,3,1,1,1,1,2,2,2,2,4,4,4,4,2,4,4,1,2,3,1,4,2,2,2,2,5,7,2,3,1,3,2,4,2,2,3,3,2,2,3,3,2,2,2,2,8,1,2,3,2,0,4,1,10,8,5,9,10,6,2,10,9,2,2,2,2,1,3,3,3,3,3,2,8,6,1,2,3,4,3,1,10,1,10,10,9,1,8,1,6,1,2,2,1,2,2,1,2,3,4,2,1993,24,1,6,2,0,2,3,2,0,0,3,2,3,2,2,0,2,61,6,0,2
1,2,1,2,1,3,1,1,10,8,1,1,2,4,2,4,3,4,4,1,1,2,1,1,1,1,1,1,3,3,3,3,3,1,3,1,4,2,3,1,2,2,2,1,1,6,7,6,3,8,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,8,2,2,4,1,0,4,3,9,3,1,6,9,6,5,10,9,1,1,1,3,1,4,1,1,4,4,0,7,7,2,2,1,1,1,1,8,2,8,10,8,1,8,1,8,1,3,1,1,2,2,1,1,4,2,1,1953,64,1,3,1,2,1,3,2,0,0,6,3,3,2,1,0,2,72,6,0,9
1,1,1,2,1,4,1,1,10,10,1,1,2,5,2,4,2,3,3,2,1,1,1,2,1,2,2,2,1,4,4,4,4,1,3,2,1,2,3,1,3,1,3,3,2,9,5,5,3,2,2,2,3,2,1,2,2,2,2,2,3,1,2,2,2,8,1,2,2,1,20801,4,10,10,10,10,10,10,0,10,10,10,1,1,1,3,2,3,2,1,3,4,2,7,7,2,1,1,1,1,1,10,5,10,10,8,1,10,1,1,1,2,2,4,2,1,1,1,4,4,2,1990,27,1,6,1,1,3,6,3,6,3,3,2,3,2,1,1,1,23,8,24,8
1,2,2,2,1,2,2,2,8,8,1,1,2,5,1,2,3,2,2,2,1,2,1,2,2,2,3,2,2,3,4,3,3,1,2,4,1,2,3,1,1,2,3,2,3,7,8,4,4,3,1,1,3,2,2,2,2,3,3,2,3,2,2,1,2,9,4,3,4,1,20807,4,1,10,6,1,9,10,7,4,10,9,1,1,1,4,3,3,2,1,3,4,2,4,2,1,7,1,3,1,1,8,3,10,10,10,7,4,1,3,2,2,2,1,1,2,1,1,3,4,1,1961,56,1,3,1,1,2,6,3,7,3,3,2,5,3,1,1,1,13,5,22,10
2,1,2,2,1,3,2,4,7,7,2,2,2,5,1,2,2,4,3,1,2,3,1,2,1,2,2,2,1,3,3,3,3,4,1,4,2,3,3,3,2,1,1,1,2,3,6,3,8,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,8,4,3,4,1,20810,7,1,10,10,1,9,10,7,4,10,9,2,1,1,4,3,3,2,1,3,4,2,6,7,2,2,4,10,4,2,10,9,10,9,9,2,10,1,1,2,2,3,2,4,3,2,3,4,4,1,1995,22,1,6,1,0,1,2,1,0,0,2,1,3,2,6,0,2,31,3,0,1
